subject,session,run,task,vif
sub-s03,ses-11,run-1,directedForgettingWFlanker,8.82279241736841
sub-s03,ses-11,run-1,stopSignalWDirectedForgetting,15.88326501373815
sub-s03,ses-11,run-1,stopSignalWFlanker,6.203503535336347
sub-s03,ses-12,run-1,directedForgettingWFlanker,10.431262002134211
sub-s03,ses-12,run-1,stopSignalWDirectedForgetting,19.912417361317814
sub-s03,ses-12,run-1,stopSignalWFlanker,5.897735544136327
sub-s10,ses-11,run-1,directedForgettingWFlanker,9.545995513701634
sub-s10,ses-11,run-1,stopSignalWDirectedForgetting,17.814722642383693
sub-s10,ses-11,run-1,stopSignalWFlanker,5.1220323149418165
sub-s10,ses-12,run-1,directedForgettingWFlanker,10.616236453742284
sub-s10,ses-12,run-1,stopSignalWDirectedForgetting,20.15712780035604
sub-s10,ses-12,run-1,stopSignalWFlanker,3.867233606729701
sub-s1035,ses-11,run-1,spatialTSWCuedTS,5.100928808566337
sub-s1035,ses-11,run-1,stopSignalWDirectedForgetting,11.812381003414128
sub-s1035,ses-11,run-1,stopSignalWFlanker,5.528636189804877
sub-s1035,ses-12,run-1,spatialTSWCuedTS,4.257034742761101
sub-s1035,ses-12,run-1,stopSignalWDirectedForgetting,11.349148817707698
sub-s1035,ses-12,run-1,stopSignalWFlanker,4.803734959529727
sub-s1057,ses-11,run-1,spatialTSWCuedTS,33.016752618719984
sub-s1057,ses-11,run-1,stopSignalWDirectedForgetting,11.981185073298985
sub-s1057,ses-11,run-1,stopSignalWFlanker,8.655472771078301
sub-s1057,ses-12,run-1,spatialTSWCuedTS,10.043298597669914
sub-s1057,ses-12,run-1,stopSignalWDirectedForgetting,11.562451776472749
sub-s1057,ses-12,run-1,stopSignalWFlanker,6.677136331690308
sub-s1057,ses-13,run-1,stopSignalWFlanker,5.628366197337432
sub-s1058,ses-11,run-1,spatialTSWCuedTS,14.291412496100827
sub-s1058,ses-11,run-1,stopSignalWDirectedForgetting,13.409130965956257
sub-s1058,ses-11,run-1,stopSignalWFlanker,4.486956221520124
sub-s1058,ses-12,run-1,spatialTSWCuedTS,7.107366044794796
sub-s1058,ses-12,run-1,stopSignalWDirectedForgetting,10.68064012344107
sub-s1058,ses-12,run-1,stopSignalWFlanker,4.402752748092107
sub-s1127,ses-11,run-1,spatialTSWCuedTS,7.5989936878090045
sub-s1127,ses-11,run-1,stopSignalWDirectedForgetting,9.80782543860912
sub-s1127,ses-11,run-1,stopSignalWFlanker,4.849320562668386
sub-s1127,ses-12,run-1,spatialTSWCuedTS,8.58518481120705
sub-s1127,ses-12,run-1,stopSignalWDirectedForgetting,10.597869855177732
sub-s1127,ses-12,run-1,stopSignalWFlanker,5.035214372806256
sub-s1134,ses-11,run-1,flankerWShapeMatching,82.8381120158947
sub-s1134,ses-11,run-1,stopSignalWDirectedForgetting,10.198430642100542
sub-s1134,ses-11,run-1,stopSignalWFlanker,3.9863198486362967
sub-s1134,ses-12,run-1,flankerWShapeMatching,31.5198279636406
sub-s1134,ses-12,run-1,stopSignalWDirectedForgetting,9.33935541591581
sub-s1134,ses-12,run-1,stopSignalWFlanker,4.850589723282601
sub-s1175,ses-11,run-1,stopSignalWDirectedForgetting,12.03249071024642
sub-s1175,ses-11,run-1,stopSignalWFlanker,4.532493503678242
sub-s1175,ses-12,run-1,cuedTSWFlanker,3.4566770956133053
sub-s1175,ses-12,run-1,stopSignalWDirectedForgetting,11.360501432426322
sub-s1175,ses-12,run-1,stopSignalWFlanker,5.168523062328026
sub-s1175,ses-12,run-2,cuedTSWFlanker,3.8043892969038007
sub-s1189,ses-12,run-1,spatialTSWCuedTS,15.453668152560308
sub-s1189,ses-12,run-1,stopSignalWDirectedForgetting,13.996367640059155
sub-s1189,ses-12,run-1,stopSignalWFlanker,4.67174654666535
