subject,session,run,task,vif,performance_feedback_breaks,regular_breaks
sub-s286,ses-11,run-1,spatialTSWCuedTS,14.296429060256088,5,1
sub-s286,ses-12,run-1,spatialTSWCuedTS,53.564498848634585,6,0
sub-s295,ses-11,run-1,spatialTSWCuedTS,6.350213078180725,3,3
sub-s295,ses-12,run-1,spatialTSWCuedTS,5.1780127091052055,0,6
sub-s336,ses-11,run-1,spatialTSWCuedTS,4.63638693814814,3,3
sub-s336,ses-12,run-1,spatialTSWCuedTS,6.342037176324775,3,3
sub-s394,ses-11,run-1,spatialTSWCuedTS,4.8802391749122975,1,5
sub-s394,ses-12,run-1,spatialTSWCuedTS,7.406024702168064,0,6
sub-s415,ses-11,run-1,spatialTSWCuedTS,21.06301604899268,6,0
sub-s415,ses-12,run-1,spatialTSWCuedTS,18.987851555680244,6,0
sub-s480,ses-11,run-1,spatialTSWCuedTS,4.655186336506196,1,5
sub-s480,ses-12,run-1,spatialTSWCuedTS,7.7237597376018226,4,2
sub-s599,ses-11,run-1,spatialTSWCuedTS,5.645818205432563,2,4
sub-s599,ses-12,run-1,spatialTSWCuedTS,5.535482452965296,0,6
sub-s645,ses-11,run-1,spatialTSWCuedTS,27.43220707215753,6,0
sub-s645,ses-12,run-1,spatialTSWCuedTS,5.304267413433516,2,4
sub-s874,ses-11,run-1,spatialTSWCuedTS,9.135230347277329,2,4
sub-s874,ses-12,run-1,spatialTSWCuedTS,9.307215796044389,2,4
sub-s1035,ses-11,run-1,spatialTSWCuedTS,5.100928808566337,0,6
sub-s1035,ses-12,run-1,spatialTSWCuedTS,4.257034742761101,1,5
sub-s1057,ses-11,run-1,spatialTSWCuedTS,33.016752618719984,6,0
sub-s1057,ses-12,run-1,spatialTSWCuedTS,10.043298597669914,4,2
sub-s1058,ses-11,run-1,spatialTSWCuedTS,14.291412496100827,6,0
sub-s1058,ses-12,run-1,spatialTSWCuedTS,7.107366044794796,3,3
sub-s1127,ses-11,run-1,spatialTSWCuedTS,7.5989936878090045,3,3
sub-s1127,ses-12,run-1,spatialTSWCuedTS,8.58518481120705,3,3
sub-s1189,ses-12,run-1,spatialTSWCuedTS,15.453668152560308,6,0
sub-s1189,ses-13,run-1,spatialTSWCuedTS,15.920021469887876,6,0
sub-s1258,ses-11,run-1,spatialTSWCuedTS,10.644075262311295,5,1
sub-s1258,ses-12,run-1,spatialTSWCuedTS,10.128992312780753,6,0
sub-s1267,ses-11,run-1,spatialTSWCuedTS,3.955932609855246,1,5
sub-s1267,ses-12,run-1,spatialTSWCuedTS,4.605278989407071,0,6
sub-s1270,ses-11,run-1,spatialTSWCuedTS,7.51585351306335,1,5
sub-s1270,ses-12,run-1,spatialTSWCuedTS,6.25227512440098,0,6
sub-s1273,ses-11,run-1,spatialTSWCuedTS,13.058976856172666,6,0
sub-s1273,ses-12,run-1,spatialTSWCuedTS,13.748741080586068,6,0
sub-s1292,ses-12,run-1,spatialTSWCuedTS,3.490810148782037,0,6
sub-s1292,ses-13,run-1,spatialTSWCuedTS,3.467860304838606,0,6
sub-s1314,ses-11,run-1,spatialTSWCuedTS,19.47071186619357,6,0
sub-s1314,ses-12,run-1,spatialTSWCuedTS,8.206851140771883,4,2
sub-s1326,ses-11,run-1,spatialTSWCuedTS,10.32977424120418,5,1
sub-s1326,ses-12,run-1,spatialTSWCuedTS,8.901091638950103,2,4
sub-s1338,ses-11,run-1,spatialTSWCuedTS,21.968703460761656,6,0
sub-s1338,ses-12,run-1,spatialTSWCuedTS,5.979054540238828,1,5
sub-s1391,ses-11,run-1,spatialTSWCuedTS,8.76441428121097,5,1
sub-s1391,ses-12,run-1,spatialTSWCuedTS,5.366834549903294,3,3
sub-s1399,ses-11,run-1,spatialTSWCuedTS,7.353787398580715,0,6
sub-s1399,ses-12,run-1,spatialTSWCuedTS,4.634417781451297,0,6
sub-s1408,ses-11,run-1,spatialTSWCuedTS,6.23651364690906,1,5
sub-s1408,ses-12,run-1,spatialTSWCuedTS,7.138430587975637,4,2
sub-s1445,ses-11,run-1,spatialTSWCuedTS,11.001131629704814,6,0
sub-s1445,ses-12,run-1,spatialTSWCuedTS,11.06275730041385,5,1
sub-s1481,ses-11,run-1,spatialTSWCuedTS,11.869919966421406,6,0
sub-s1481,ses-12,run-1,spatialTSWCuedTS,17.459921485919377,6,0
sub-s1486,ses-11,run-1,spatialTSWCuedTS,8.246960405484817,3,3
sub-s1486,ses-12,run-1,spatialTSWCuedTS,8.113783675442965,2,4
