subject,session,run,task,vif,performance_feedback_breaks,regular_breaks,expected_breaks
sub-s03,ses-11,run-1,stopSignalWDirectedForgetting,15.88326501373815,3,0,0
sub-s03,ses-12,run-1,stopSignalWDirectedForgetting,19.912417361317814,3,0,0
sub-s10,ses-11,run-1,stopSignalWDirectedForgetting,17.814722642383693,3,0,0
sub-s10,ses-12,run-1,stopSignalWDirectedForgetting,20.15712780035604,3,0,0
sub-s19,ses-11,run-1,stopSignalWDirectedForgetting,20.604983042196857,3,0,0
sub-s19,ses-12,run-1,stopSignalWDirectedForgetting,24.16780892759081,3,0,0
sub-s29,ses-11,run-1,stopSignalWDirectedForgetting,22.179482319006663,3,0,0
sub-s29,ses-12,run-1,stopSignalWDirectedForgetting,17.93661920646358,3,0,1
sub-s43,ses-11,run-1,stopSignalWDirectedForgetting,30.297332256098883,3,0,1
sub-s43,ses-12,run-1,stopSignalWDirectedForgetting,22.20637721597056,3,0,0
sub-s76,ses-11,run-1,stopSignalWDirectedForgetting,25.163584642075925,3,0,0
sub-s76,ses-12,run-1,stopSignalWDirectedForgetting,20.564705424457696,3,0,0
sub-s180,ses-11,run-1,stopSignalWDirectedForgetting,12.24366190781766,0,3,0
sub-s180,ses-12,run-1,stopSignalWDirectedForgetting,12.14845626021175,0,3,0
sub-s216,ses-11,run-1,stopSignalWDirectedForgetting,22.86950755903358,3,0,0
sub-s216,ses-12,run-1,stopSignalWDirectedForgetting,13.974074475364429,0,3,0
sub-s247,ses-11,run-1,stopSignalWDirectedForgetting,28.85309570314117,3,0,2
sub-s247,ses-12,run-1,stopSignalWDirectedForgetting,27.782418176066027,3,0,0
sub-s247,ses-12,run-2,stopSignalWDirectedForgetting,30.51218013432057,3,0,0
sub-s286,ses-11,run-1,stopSignalWDirectedForgetting,14.680588892183357,2,1,2
sub-s286,ses-12,run-1,stopSignalWDirectedForgetting,11.962226946374416,0,3,0
sub-s295,ses-11,run-1,stopSignalWDirectedForgetting,11.938715460220337,0,3,0
sub-s295,ses-12,run-1,stopSignalWDirectedForgetting,12.035463816626626,0,3,0
sub-s300,ses-11,run-1,stopSignalWDirectedForgetting,10.129487624232748,0,3,0
sub-s300,ses-12,run-1,stopSignalWDirectedForgetting,10.35862586237491,0,3,0
sub-s320,ses-11,run-1,stopSignalWDirectedForgetting,10.503520841109795,0,3,0
sub-s320,ses-12,run-1,stopSignalWDirectedForgetting,10.576725343259202,1,2,1
sub-s321,ses-11,run-1,stopSignalWDirectedForgetting,12.038794706832988,0,3,0
sub-s321,ses-12,run-1,stopSignalWDirectedForgetting,12.70215318806936,0,3,0
sub-s336,ses-11,run-1,stopSignalWDirectedForgetting,17.060427065373407,2,1,2
sub-s336,ses-12,run-1,stopSignalWDirectedForgetting,11.59501723235354,0,3,0
sub-s373,ses-11,run-1,stopSignalWDirectedForgetting,11.628882265778252,0,3,0
sub-s373,ses-12,run-1,stopSignalWDirectedForgetting,11.494692158010093,0,3,0
sub-s394,ses-11,run-1,stopSignalWDirectedForgetting,11.275163326960246,0,3,0
sub-s394,ses-12,run-1,stopSignalWDirectedForgetting,13.794500351366423,1,2,1
sub-s415,ses-11,run-1,stopSignalWDirectedForgetting,15.874680129769692,0,3,0
sub-s415,ses-12,run-1,stopSignalWDirectedForgetting,14.63557212474781,0,3,0
sub-s480,ses-11,run-1,stopSignalWDirectedForgetting,10.401166340791498,1,2,1
sub-s480,ses-12,run-1,stopSignalWDirectedForgetting,11.58323206320241,0,3,0
sub-s599,ses-11,run-1,stopSignalWDirectedForgetting,10.118257126323345,0,3,0
sub-s599,ses-12,run-1,stopSignalWDirectedForgetting,10.723968554728732,0,3,0
sub-s645,ses-11,run-1,stopSignalWDirectedForgetting,11.08022751635688,2,1,2
sub-s645,ses-12,run-1,stopSignalWDirectedForgetting,10.555566862139305,0,3,0
sub-s874,ses-11,run-1,stopSignalWDirectedForgetting,12.553236831957776,0,3,0
sub-s874,ses-12,run-1,stopSignalWDirectedForgetting,11.361756960219417,0,3,0
sub-s956,ses-11,run-1,stopSignalWDirectedForgetting,12.122639752581838,2,1,2
sub-s956,ses-12,run-1,stopSignalWDirectedForgetting,10.032214233749665,0,3,0
sub-s1035,ses-11,run-1,stopSignalWDirectedForgetting,11.812381003414128,0,3,0
sub-s1035,ses-12,run-1,stopSignalWDirectedForgetting,11.349148817707698,0,3,0
sub-s1057,ses-11,run-1,stopSignalWDirectedForgetting,11.981185073298985,0,3,0
sub-s1057,ses-12,run-1,stopSignalWDirectedForgetting,11.562451776472749,0,3,0
sub-s1058,ses-11,run-1,stopSignalWDirectedForgetting,13.409130965956257,0,3,0
sub-s1058,ses-12,run-1,stopSignalWDirectedForgetting,10.68064012344107,0,3,0
sub-s1127,ses-11,run-1,stopSignalWDirectedForgetting,9.80782543860912,0,3,0
sub-s1127,ses-12,run-1,stopSignalWDirectedForgetting,10.597869855177732,0,3,0
sub-s1134,ses-11,run-1,stopSignalWDirectedForgetting,10.198430642100542,0,3,0
sub-s1134,ses-12,run-1,stopSignalWDirectedForgetting,9.33935541591581,0,3,0
sub-s1175,ses-11,run-1,stopSignalWDirectedForgetting,12.03249071024642,0,3,0
sub-s1175,ses-12,run-1,stopSignalWDirectedForgetting,11.360501432426322,0,3,0
sub-s1189,ses-12,run-1,stopSignalWDirectedForgetting,13.996367640059155,1,2,1
sub-s1189,ses-13,run-1,stopSignalWDirectedForgetting,13.825997976185308,1,2,1
sub-s1258,ses-11,run-1,stopSignalWDirectedForgetting,14.685969444955056,3,0,3
sub-s1258,ses-12,run-1,stopSignalWDirectedForgetting,18.791013237826235,2,1,2
sub-s1267,ses-11,run-1,stopSignalWDirectedForgetting,9.68888835909402,0,3,0
sub-s1267,ses-12,run-1,stopSignalWDirectedForgetting,11.128385494973664,0,3,0
sub-s1270,ses-11,run-1,stopSignalWDirectedForgetting,12.948179194559811,0,3,0
sub-s1270,ses-12,run-1,stopSignalWDirectedForgetting,12.171591265960444,0,3,0
sub-s1273,ses-11,run-1,stopSignalWDirectedForgetting,11.849378076814215,0,3,0
