Subject,Session,Task,Run,Performance Feedback Breaks,Regular Breaks
sub-s03,ses-11,directedForgettingWFlanker,run-1,0,3
sub-s03,ses-12,directedForgettingWFlanker,run-1,0,3
sub-s10,ses-11,directedForgettingWFlanker,run-1,0,3
sub-s10,ses-12,directedForgettingWFlanker,run-1,0,3
sub-s19,ses-12,directedForgettingWFlanker,run-1,1,2
sub-s29,ses-11,directedForgettingWFlanker,run-1,0,0
sub-s29,ses-12,directedForgettingWFlanker,run-1,0,3
sub-s43,ses-12,directedForgettingWFlanker,run-1,0,3
sub-s03,ses-11,stopSignalWDirectedForgetting,run-1,3,0
sub-s03,ses-12,stopSignalWDirectedForgetting,run-1,3,0
sub-s10,ses-11,stopSignalWDirectedForgetting,run-1,3,0
sub-s10,ses-12,stopSignalWDirectedForgetting,run-1,3,0
sub-s19,ses-11,stopSignalWDirectedForgetting,run-1,3,0
sub-s19,ses-12,stopSignalWDirectedForgetting,run-1,3,0
sub-s29,ses-11,stopSignalWDirectedForgetting,run-1,3,0
sub-s29,ses-12,stopSignalWDirectedForgetting,run-1,3,0
sub-s43,ses-11,stopSignalWDirectedForgetting,run-1,3,0
sub-s43,ses-12,stopSignalWDirectedForgetting,run-1,3,0
sub-s03,ses-11,stopSignalWFlanker,run-1,0,4
sub-s03,ses-12,stopSignalWFlanker,run-1,1,3
sub-s10,ses-11,stopSignalWFlanker,run-1,0,4
sub-s10,ses-12,stopSignalWFlanker,run-1,0,4
sub-s19,ses-11,stopSignalWFlanker,run-1,1,3
sub-s19,ses-12,stopSignalWFlanker,run-1,1,3
sub-s29,ses-11,stopSignalWFlanker,run-1,0,2
sub-s29,ses-12,stopSignalWFlanker,run-1,0,4
sub-s43,ses-11,stopSignalWFlanker,run-1,0,4
sub-s43,ses-12,stopSignalWFlanker,run-1,0,4
